
"Daily Deal Products","SẢN PHẨM GIỜ VÀNG"
"Lastest Products","SẢN PHẨM MỚI NHẤT"
"Bestseller Products","MUA NHIỀU NHẤT"
"Promotion Products","ĐANG GIẢM GIÁ"
"Most Viewed Products","XEM NHIỀU NHẤT"
"Brand %s","Thương hiệu %s"
"MT Collection","Nhóm sản phẩm"
"Lastest","Link sản phẩm mới nhất"
"Bestsell","Link sản phẩm bán chạy"
"Mostviewed","Link sản phẩm xem nhiều"
"Promotion","Link sản phẩm khuyến mãi"
"Daily Deal Products","Link sản phẩm deal"

"Manage Attribute Options","Quản lý thông tin thuộc tính"
"Attribute","Thuộc tính"
"Option","Giá trị"
"Edit Description for %s","Sửa thông tin cho %s"
"Attribute Option Settings","Các thông tin thuộc tính"
