
"ok","OK"
"MT ERP","Kết nối ERP"
"ERP Settings","Cấu hình ERP"
"Scheduling Synchronization","Lịch đồng bộ với ERP"
"Enable Log Cleaning","Xóa báo cáo tự động"
"Log Cleaning Frequency","Lịch xóa tự động"
"Save Log Days","Lưu báo cáo trong vòng (ngày)"
"Customer to ERP","Đồng bộ khách hàng tới ERP"
"Scheduling Synchronization All","Lịch đồng bộ từ ERP"
"Test Connection","Kiểm tra kết nối"
"Connection successfully","Kết nối thành công"
"ERP Product Settings","Đồng bộ sản phẩm"
"Promotion From Store ID","Mã kho lấy khuyến mãi"
"Price From Store ID","Mã kho lấy giá"
"Stock From Store IDs","Mã các kho lấy tồn kho"
"You need change to website scope to view configuration","Bạn phải chuyển cấu hình sang mức Website để thay đổi"
"ERP Synchronization Log","Báo cáo quá trình đồng bộ"
"Enter ERP store ID","Nhập vào mã kho từ ERP"
"Enter multi ERP store IDs","Nhập vào các mã kho từ ERP"
"<a href=""http://en.wikipedia.org/wiki/Cron"" target=""_blank"">See here</a> for more information","Xem hướng dẫn <a href=""http://en.wikipedia.org/wiki/Cron"" target=""_blank"">tại đây</a>"
"Connection Status","Tình trạng kết nối"
"Connection failed","Kết nối bị lỗi"
"Add customer to ERP in registration","Đồng bộ khách hàng vào ERP khi đăng ký"
"Query customer info","Thông tin khách hàng"
"Query customer info from ERP in registration","Truy vấn thông tin khách hàng khi đăng ký"
