
"My Points","Điểm tích lũy"
"MT Points","Điểm tích lũy"
"Balance","Tổng điểm"
"Point(s) earned","Điểm tích lũy"
"<a href=""%s"">Login</a> or <a href=""%s"">Register</a> to earn %d point(s)","<a href=""%s"">Đăng nhập</a> hoặc <a href=""%s"">đăng ký</a> để nhận %d điểm"
"Points Balance","Tổng điểm tích lũy"
"Update Point Balance","Cập nhật điểm"
"Points History","Lịch sử nhận điểm"
"Money Amount","Số tiền"
"Enter a negative number to subtract from balance","Để trừ điểm, nhập vào một số âm"
"Enter the reason here","Lý do cập nhật điểm"
"MT Point","Điểm tích lũy"
"Purchase","Tích điểm khi mua hàng"
"Registration","Tích điểm khi đăng ký"
"Reply Review","Tích điểm khi comment"
"Review","Tích điểm khi đánh giá"
"MT Customer Point Rate","Điểm tích lũy"
"MT Point Rate","Tỉ lệ đổi điểm"
"Points","Điểm"
"Point","Điểm"
"Rate Information","Thông tin quy đổi"
"Edit Rate","Thay đổi tỷ lệ"
"New Rate","Thiết lập tỷ lệ mới"
"Add New Rate","Thiết lập tỷ lệ"
