
"Widget Title","Tiêu đề"
"Widget Link","Link"
"Cache Lifetime","Thời gian cache"
"Widget Classes","Html Class"
"Widget Type","Kiểu Block"
"Current Category","Lọc danh mục đang xem"
"Product Collection","Kiểu sản phẩm"
"Latest Products","Sản phẩm mới nhất"
"Best Sell Products","Sản phẩm bán chạy"
"Specified Products","Sản phẩm chỉ định"
"Random Products","Sản phẩm ngẫu nhiên"
"Up-sell Products","Sản phẩm Up-sell"
"Cross-sell Products","Sản phẩm Cross-sell"
"Discount Products","Sản phẩm giảm giá"
"Groupon Products","Sản phẩm Groupon"
"Combo Products","Sản phẩm Combo"
"Enable Scroll","Áp dụng carousel"
"Limit","Giới hạn"
"Column","Hiển thị"
"Most Viewed Products","Sản phẩm xem nhiều"
"If set, caching this widget (in seconds)","Điền vào thời gian lưu cache cho block này (giây)"
"Custom classes","Class cho block, vd: hidden-xs"
"Select widget content","Chọn nội dung mà block sẽ hiển thị"
"Collection filtered by current category","Lọc bởi danh mục hiện thời, VD block Sản phẩm nổi bật sẽ được lọc bởi danh mục đang xem"
"If category is selected, the product collection will be filtered by this categories","Chọn các danh mục sản phẩm muốn lọc"
"The product collection","Chọn kiểu danh sách sản phẩm"
"Specific product ids here","Chọn các sản phẩm muốn hiển thị trong block"
"Enable Carousel","Áp dụng carousel cho block này"
"Limit number of products show on widget","Giới hạn tối đa trong block (sản phẩm, blog...)"
"Limit number of items on row (only for widget product)","Số sản phẩm hiển thị trên một dòng"
"Select attribute to show","Chọn thuộc tính để hiển thị"
"Select attribute options to show","Chọn các giá trị của thuộc tính"
"Only show attribute option assigned to product(s)","Chỉ hiển thị các giá trị có sản phẩm kèm theo"
"Attribute Options","Giá trị của thuộc tính"
"Filter Product","Lọc theo sản phẩm"
"Max Items","Hiển thị tối đa"
"This variable allows you to set the maximum amount of items displayed at a time with the widest browser width","Số mục hiển thị đồng thời trên block"
"Change to any integrer for example 5000 to play every 5 seconds. If you set true default speed will be 5 seconds.","Số nguyên, VD 5000 thì block sẽ chạy sau mỗi 5 giây. Để trống nếu không muốn chạy slideshow"
"Show pagination","Hiển thị số trang của slideshow"
"Show Paging","Hiển thị số trang"
