"""%s"" coupon code is not valid.","""%s"" mã giảm giá không được chấp nhận."
"%s","%s"
"%s / %s rate:","%s / %s tỷ lệ:"
"%s for %s","%s for %s"
"%s order(s) cannot be canceled","%s đơn hàng(s) không thể hủy bỏ"
"%s order(s) have been canceled.","%s đơn hàng(s) đã bị hủy bỏ."
"%s order(s) have been put on hold.","%s order(s) đã được giữ lại."
"%s order(s) have been released from holding status.","%s order(s) have been released from holding status."
"%s order(s) were not put on hold.","%s order(s) were not put on hold."
"%s order(s) were not released from holding status.","%s order(s) were not released from holding status."
"* - Enter custom price excluding tax","* - Nhập giá tùy chỉnh chưa bao gồm thuế"
"* - Enter custom price including tax","* - Nhập giá tùy chỉnh bao gồm thuế"
"-- Please Select --","-- Vui lòng chọn --"
"-- Please Select Billing Agreement--","-- Vui lòng chọn hình thức thanh toán--"
"About This Order:","Về đơn hàng này:"
"About This Profile:","About This Profile:"
"About Your Invoice","Về thanh toán của bạn"
"About Your Order","Về đơn hàng của bạn"
"About Your Refund","Về hoàn trả"
"About Your Shipment","About Your Shipment"
"Accept Payment","chấp nhận thanh toán"
"Accept or Deny Payment","Chấp nhận hoặc từ chối thanh toán"
"Account Information","Thông tin tài khoản"
"Action","Hành động"
"Actions","Các hành động"
"Activate","Kích hoạt"
"Active","Hoạt động"
"Add","Thêm"
"Add New Address","Thêm địa chỉ mới"
"Add Order Comments","Thêm nhận xét đơn hàng"
"Add Package","Thêm gói"
"Add Products","Thêm sản phẩm"
"Add Selected Product(s) to Option","Thêm sản phẩm được chọn(s) để lựa chọn"
"Add Selected Product(s) to Order","Thêm sản phẩm được chọn(s) để đặt hàng"
"Add Selected Product(s) to Package","Add Selected Product(s) to Package"
"Add To Order","Thêm vào đơn hàng"
"Add Tracking Number","Add Tracking Number"
"Add comment to order","Thêm bình luận đơn hàng"
"Add new comment to credit memo","Add new comment to credit memo"
"Add new comment to shipment","Add new comment to shipment"
"Add new tracking number","Add new tracking number"
"Add to Cart","Thêm vào giỏ hàng"
"Additional Product Info","Thêm thông tin sản phẩm"
"Address","Địa chỉ"
"Address model is not defined.","Address model is not defined."
"Adjustment Fee","Adjustment Fee"
"Adjustment Refund","Adjustment Refund"
"Agreement Information","Agreement Information"
"Allow Reorder","Allow Reorder"
"Amount","Số tiền"
"Amount: %s.","Số tiền: %s."
"An error occurred while assigning order status. Status has not been assigned.","An error occurred while assigning order status. Status has not been assigned."
"An error occurred while creating shipping label.","An error occurred while creating shipping label."
"An error occurred while saving order status. The status has not been added.","An error occurred while saving order status. The status has not been added."
